ra,ra_err,dec,dec_err,u,u_err,g,g_err,r,r_err,i,i_err,z,g_err1
345.553247577457,0.0076940786297469,59.6817779295618,0.00766311919856375,22.99646,0.5388289,20.44714,0.1394149,19.17233,0.1335304,18.52145,0.1598893,17.98877,0.1394149
345.548803491952,0.0304376484512871,59.6822488050318,0.0303258902792097,24.31429,0.9058741,22.73649,0.1569131,20.97211,0.04842304,19.94315,0.03149235,19.23244,0.1569131
345.554975710858,0.0299973797910567,59.6786395438176,0.0337737241324125,24.12879,0.8536805,23.26574,0.2478877,20.89741,0.04491044,19.94352,0.03075194,19.26136,0.2478877
345.549027863515,0.00457961080420684,59.680018738849,0.00462924571907211,21.94325,0.1721304,19.64873,0.018086,18.384,0.008737348,17.75784,0.01266218,17.24318,0.018086
345.552668902569,0.00297116117955521,59.6803336139589,0.0030348990883339,20.77652,0.06746992,18.84534,0.01548879,17.64118,0.01067032,17.01788,0.01484269,16.50286,0.01548879
345.53249983153,0.281774611237977,59.6763700366769,0.294127886713346,23.90943,0.761131,24.94482,0.8164507,23.87619,0.5107729,21.80961,0.2014546,21.24064,0.8164507
345.529396906764,0.0395995344120356,59.6739969455628,0.0393413398676415,25.00245,0.8789104,22.80901,0.1670149,21.22369,0.05808219,20.35031,0.04095352,19.77595,0.1670149
345.532850228947,0.0349968108322575,59.6751678748967,0.0355637522544756,24.32593,1.369122,22.71013,0.1682916,21.06753,0.05193611,20.18967,0.04041149,19.37306,0.1682916
345.528972219998,0.00253362318225927,59.6763180632514,0.00254972066915547,20.72292,0.06003343,18.44779,0.01422264,17.33914,0.006672811,16.89697,0.01179562,16.56139,0.01422264
345.540758263932,0.137057568686469,59.6788954124947,0.1260465890364,24.54097,0.937328,25.52626,0.6387428,23.31136,0.3613221,22.09894,0.1828287,20.69529,0.6387428
345.542730014425,0.012875871085747,59.6798785398142,0.0130424960308045,22.93907,0.3889131,21.49121,0.05492467,19.85113,0.01862196,19.07594,0.01821396,18.43716,0.05492467
345.538885298918,0.00447496674940086,59.6800898547081,0.0045826172787981,21.7805,0.1479236,19.63201,0.01801626,18.31758,0.008559719,17.62253,0.01245113,17.07045,0.01801626
345.439554643927,0.100065151767662,59.6583972704962,0.100044443473061,23.89699,0.7651086,24.21635,0.5027379,22.10454,0.1422532,21.19352,0.0896656,20.65877,0.5027379
